experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16,n_changed_thresh,sparsity_thresh,n_changed_bf16_thresh,sparsity_bf16_thresh
adamw_grpo_fp32,AdamW + GRPO (FP32),-1,embed,embed,model.embed_tokens.weight,233373696,233346311,27385,0.00011734398721607864,24285133,209088563,0.8959388593648532,43431608,0.8138967298182568,12706856,0.9455514643775449
adamw_grpo_fp32,AdamW + GRPO (FP32),0,down_proj,mlp,model.layers.0.mlp.down_proj.weight,13762560,13762061,499,3.6257789248539396e-05,2309022,11453538,0.832224382672991,6370808,0.5370913550967262,1819611,0.8677854265485491
adamw_grpo_fp32,AdamW + GRPO (FP32),0,gate_proj,mlp,model.layers.0.mlp.gate_proj.weight,13762560,13761967,593,4.308791387652722e-05,2004609,11757951,0.8543433053152902,6396563,0.5352199736095611,1582816,0.8849911644345239
adamw_grpo_fp32,AdamW + GRPO (FP32),0,up_proj,mlp,model.layers.0.mlp.up_proj.weight,13762560,13762063,497,3.611246744794627e-05,2430669,11331891,0.8233854021344866,6473616,0.5296212332589285,1922174,0.8603331066313245
adamw_grpo_fp32,AdamW + GRPO (FP32),0,k_proj,attn,model.layers.0.self_attn.k_proj.weight,393216,393188,28,7.120768229162966e-05,34265,358951,0.9128595987955729,187863,0.5222396850585938,27163,0.9309209187825521
adamw_grpo_fp32,AdamW + GRPO (FP32),0,o_proj,attn,model.layers.0.self_attn.o_proj.weight,2359296,2359234,62,2.6279025607589546e-05,554646,1804650,0.7649103800455729,1138001,0.5176522996690538,440601,0.8132489522298177
adamw_grpo_fp32,AdamW + GRPO (FP32),0,q_proj,attn,model.layers.0.self_attn.q_proj.weight,2359296,2358215,1081,0.00045818752712678545,258453,2100843,0.8904533386230469,940215,0.6014849344889324,203415,0.913781483968099
adamw_grpo_fp32,AdamW + GRPO (FP32),0,v_proj,attn,model.layers.0.self_attn.v_proj.weight,393216,393208,8,2.034505208337034e-05,95025,298191,0.7583389282226562,190136,0.5164591471354167,75494,0.8080088297526041
adamw_grpo_fp32,AdamW + GRPO (FP32),1,down_proj,mlp,model.layers.1.mlp.down_proj.weight,13762560,13762029,531,3.858293805802937e-05,2340889,11421671,0.8299088977632069,6328513,0.540164547874814,1839850,0.8663148425874256
adamw_grpo_fp32,AdamW + GRPO (FP32),1,gate_proj,mlp,model.layers.1.mlp.gate_proj.weight,13762560,13761943,617,4.48317754836447e-05,1977313,11785247,0.856326657249814,6349319,0.5386527651832218,1556409,0.886909920828683
adamw_grpo_fp32,AdamW + GRPO (FP32),1,up_proj,mlp,model.layers.1.mlp.up_proj.weight,13762560,13762072,488,3.545851934527722e-05,2307511,11455049,0.8323341732933408,6336660,0.5395725795200893,1811327,0.8683873494466146
adamw_grpo_fp32,AdamW + GRPO (FP32),1,k_proj,attn,model.layers.1.self_attn.k_proj.weight,393216,393188,28,7.120768229162966e-05,39012,354204,0.900787353515625,181917,0.5373611450195312,30579,0.9222335815429688
adamw_grpo_fp32,AdamW + GRPO (FP32),1,o_proj,attn,model.layers.1.self_attn.o_proj.weight,2359296,2359227,69,2.924601236975466e-05,484414,1874882,0.7946785820855035,1119788,0.5253719753689237,384636,0.8369700113932291
adamw_grpo_fp32,AdamW + GRPO (FP32),1,q_proj,attn,model.layers.1.self_attn.q_proj.weight,2359296,2359168,128,5.4253472222209886e-05,298361,2060935,0.8735381232367622,1076831,0.5435795254177518,232296,0.9015401204427084
adamw_grpo_fp32,AdamW + GRPO (FP32),1,v_proj,attn,model.layers.1.self_attn.v_proj.weight,393216,393201,15,3.814697265625e-05,96137,297079,0.7555109659830729,191703,0.5124740600585938,76440,0.80560302734375
adamw_grpo_fp32,AdamW + GRPO (FP32),10,down_proj,mlp,model.layers.10.mlp.down_proj.weight,13762560,13762039,521,3.785632905506375e-05,2493214,11269346,0.818840826125372,6704678,0.5128320603143601,2014296,0.8536394391741071
adamw_grpo_fp32,AdamW + GRPO (FP32),10,gate_proj,mlp,model.layers.10.mlp.gate_proj.weight,13762560,13762015,545,3.9600190662181234e-05,2126274,11636286,0.8455030168805804,6446474,0.5315933954148065,1687541,0.8773817516508556
adamw_grpo_fp32,AdamW + GRPO (FP32),10,up_proj,mlp,model.layers.10.mlp.up_proj.weight,13762560,13762031,529,3.843761625743625e-05,2305281,11457279,0.8324962071010045,6585723,0.5214754377092634,1846382,0.8658402215866816
adamw_grpo_fp32,AdamW + GRPO (FP32),10,k_proj,attn,model.layers.10.self_attn.k_proj.weight,393216,393195,21,5.340576171875e-05,61568,331648,0.8434244791666666,185342,0.5286509195963542,48794,0.8759104410807291
adamw_grpo_fp32,AdamW + GRPO (FP32),10,o_proj,attn,model.layers.10.self_attn.o_proj.weight,2359296,2359217,79,3.3484564887165114e-05,460569,1898727,0.804785410563151,1127929,0.52192136976454,367988,0.8440263536241319
adamw_grpo_fp32,AdamW + GRPO (FP32),10,q_proj,attn,model.layers.10.self_attn.q_proj.weight,2359296,2359193,103,4.365709092879477e-05,401765,1957531,0.8297097947862413,1114663,0.5275442335340712,319857,0.8644269307454427
adamw_grpo_fp32,AdamW + GRPO (FP32),10,v_proj,attn,model.layers.10.self_attn.v_proj.weight,393216,393203,13,3.306070963537966e-05,69236,323980,0.8239237467447916,184330,0.5312245686848958,54468,0.861480712890625
adamw_grpo_fp32,AdamW + GRPO (FP32),11,down_proj,mlp,model.layers.11.mlp.down_proj.weight,13762560,13762077,483,3.509521484379441e-05,2574110,11188450,0.8129628499348959,6822720,0.5042550223214286,2094724,0.8477954682849702
adamw_grpo_fp32,AdamW + GRPO (FP32),11,gate_proj,mlp,model.layers.11.mlp.gate_proj.weight,13762560,13761982,578,4.199800037207879e-05,2165627,11596933,0.8426435924711682,6529177,0.5255841209774925,1730209,0.8742814563569569
adamw_grpo_fp32,AdamW + GRPO (FP32),11,up_proj,mlp,model.layers.11.mlp.up_proj.weight,13762560,13762066,494,3.589448474705659e-05,2341682,11420878,0.8298512776692708,6699914,0.513178216843378,1890641,0.8626243228004092
adamw_grpo_fp32,AdamW + GRPO (FP32),11,k_proj,attn,model.layers.11.self_attn.k_proj.weight,393216,393196,20,5.086263020837034e-05,51501,341715,0.8690261840820312,170596,0.5661519368489583,39176,0.9003702799479166
adamw_grpo_fp32,AdamW + GRPO (FP32),11,o_proj,attn,model.layers.11.self_attn.o_proj.weight,2359296,2359215,81,3.4332275390625e-05,486079,1873217,0.7939728630913628,1143185,0.5154550340440538,389939,0.8347223069932725
adamw_grpo_fp32,AdamW + GRPO (FP32),11,q_proj,attn,model.layers.11.self_attn.q_proj.weight,2359296,2359191,105,4.450480143225466e-05,357495,2001801,0.848473866780599,1043129,0.5578642951117622,275714,0.8831371731228299
adamw_grpo_fp32,AdamW + GRPO (FP32),11,v_proj,attn,model.layers.11.self_attn.v_proj.weight,393216,393202,14,3.560384114587034e-05,69961,323255,0.8220799763997396,189937,0.5169652303059895,55903,0.8578313191731771
adamw_grpo_fp32,AdamW + GRPO (FP32),12,down_proj,mlp,model.layers.12.mlp.down_proj.weight,13762560,13762103,457,3.320603143597278e-05,2742636,11019924,0.8007175990513393,7061112,0.48693324497767854,2265007,0.8354225521995908
adamw_grpo_fp32,AdamW + GRPO (FP32),12,gate_proj,mlp,model.layers.12.mlp.gate_proj.weight,13762560,13761944,616,4.4759114583348136e-05,2184707,11577853,0.8412572224934896,6673746,0.515079607282366,1762579,0.8719294230143229
adamw_grpo_fp32,AdamW + GRPO (FP32),12,up_proj,mlp,model.layers.12.mlp.up_proj.weight,13762560,13762078,482,3.502255394349785e-05,2494809,11267751,0.8187249319893973,6916253,0.4974588303338914,2042734,0.8515731084914435
adamw_grpo_fp32,AdamW + GRPO (FP32),12,k_proj,attn,model.layers.12.self_attn.k_proj.weight,393216,393191,25,6.357828776037966e-05,60230,332986,0.8468271891276041,178566,0.5458831787109375,47496,0.87921142578125
adamw_grpo_fp32,AdamW + GRPO (FP32),12,o_proj,attn,model.layers.12.self_attn.o_proj.weight,2359296,2359225,71,3.0093722873214546e-05,496056,1863240,0.7897440592447916,1190191,0.4955312940809462,404827,0.8284119500054253
adamw_grpo_fp32,AdamW + GRPO (FP32),12,q_proj,attn,model.layers.12.self_attn.q_proj.weight,2359296,2359208,88,3.7299262152790114e-05,391584,1967712,0.8340250651041666,1075109,0.5443094041612413,305571,0.8704821268717448
adamw_grpo_fp32,AdamW + GRPO (FP32),12,v_proj,attn,model.layers.12.self_attn.v_proj.weight,393216,393200,16,4.069010416662966e-05,69888,323328,0.822265625,192885,0.5094680786132812,56240,0.8569742838541666
adamw_grpo_fp32,AdamW + GRPO (FP32),13,down_proj,mlp,model.layers.13.mlp.down_proj.weight,13762560,13762076,484,3.516787574409097e-05,2718707,11043853,0.802456301734561,7175388,0.47862984793526786,2259231,0.8358422415597098
adamw_grpo_fp32,AdamW + GRPO (FP32),13,gate_proj,mlp,model.layers.13.mlp.gate_proj.weight,13762560,13762023,537,3.901890345980874e-05,2353219,11409341,0.8290129888625373,6887721,0.4995319911411831,1924117,0.8601919265020461
adamw_grpo_fp32,AdamW + GRPO (FP32),13,up_proj,mlp,model.layers.13.mlp.up_proj.weight,13762560,13762099,461,3.349667503715903e-05,2499749,11262811,0.8183659871419271,7074021,0.48599526541573657,2068035,0.8497347150530135
adamw_grpo_fp32,AdamW + GRPO (FP32),13,k_proj,attn,model.layers.13.self_attn.k_proj.weight,393216,393196,20,5.086263020837034e-05,56757,336459,0.8556594848632812,191685,0.5125198364257812,45942,0.8831634521484375
adamw_grpo_fp32,AdamW + GRPO (FP32),13,o_proj,attn,model.layers.13.self_attn.o_proj.weight,2359296,2359225,71,3.0093722873214546e-05,517936,1841360,0.7804701063368056,1202851,0.49016528659396696,423845,0.820351070827908
adamw_grpo_fp32,AdamW + GRPO (FP32),13,q_proj,attn,model.layers.13.self_attn.q_proj.weight,2359296,2359193,103,4.365709092879477e-05,394888,1964408,0.8326246473524306,1132558,0.5199593438042535,317210,0.8655488755967882
adamw_grpo_fp32,AdamW + GRPO (FP32),13,v_proj,attn,model.layers.13.self_attn.v_proj.weight,393216,393204,12,3.0517578125e-05,79785,313431,0.7970962524414062,205825,0.4765599568684896,66285,0.8314285278320312
adamw_grpo_fp32,AdamW + GRPO (FP32),14,down_proj,mlp,model.layers.14.mlp.down_proj.weight,13762560,13762105,455,3.306070963537966e-05,2763612,10998948,0.7991934640066964,7286866,0.47052975609188985,2309653,0.8321785336449032
adamw_grpo_fp32,AdamW + GRPO (FP32),14,gate_proj,mlp,model.layers.14.mlp.gate_proj.weight,13762560,13762084,476,3.458658854171848e-05,2521041,11241519,0.8168188912527902,7098968,0.48418259393601193,2091628,0.8480204264322917
adamw_grpo_fp32,AdamW + GRPO (FP32),14,up_proj,mlp,model.layers.14.mlp.up_proj.weight,13762560,13762100,460,3.342401413686247e-05,2617647,11144913,0.8097994123186384,7287721,0.4704676310221354,2193436,0.8406229654947917
adamw_grpo_fp32,AdamW + GRPO (FP32),14,k_proj,attn,model.layers.14.self_attn.k_proj.weight,393216,393201,15,3.814697265625e-05,70026,323190,0.8219146728515625,174728,0.5556437174479167,53212,0.8646748860677084
adamw_grpo_fp32,AdamW + GRPO (FP32),14,o_proj,attn,model.layers.14.self_attn.o_proj.weight,2359296,2359213,83,3.5179985894084886e-05,538646,1820650,0.7716920640733507,1196493,0.49286015828450525,438061,0.8143255445692275
adamw_grpo_fp32,AdamW + GRPO (FP32),14,q_proj,attn,model.layers.14.self_attn.q_proj.weight,2359296,2359204,92,3.8994683159709886e-05,423010,1936286,0.8207049899631076,998989,0.5765732659233941,313629,0.8670667012532552
adamw_grpo_fp32,AdamW + GRPO (FP32),14,v_proj,attn,model.layers.14.self_attn.v_proj.weight,393216,393204,12,3.0517578125e-05,86351,306865,0.7803980509440104,196219,0.500989278157552,69793,0.8225072224934896
adamw_grpo_fp32,AdamW + GRPO (FP32),15,down_proj,mlp,model.layers.15.mlp.down_proj.weight,13762560,13762111,449,3.262474423360029e-05,2799214,10963346,0.7966065906343006,7371345,0.46439143589564735,2350828,0.8291867210751488
adamw_grpo_fp32,AdamW + GRPO (FP32),15,gate_proj,mlp,model.layers.15.mlp.gate_proj.weight,13762560,13762103,457,3.320603143597278e-05,2467153,11295407,0.8207344418480282,7063492,0.4867603120349703,2044091,0.8514745076497396
adamw_grpo_fp32,AdamW + GRPO (FP32),15,up_proj,mlp,model.layers.15.mlp.up_proj.weight,13762560,13762089,471,3.4223284040124646e-05,2575321,11187239,0.8128748575846354,7279624,0.4710559663318452,2158025,0.8431959606352306
adamw_grpo_fp32,AdamW + GRPO (FP32),15,k_proj,attn,model.layers.15.self_attn.k_proj.weight,393216,393201,15,3.814697265625e-05,74539,318677,0.8104375203450521,203057,0.4835993448893229,61208,0.8443400065104166
adamw_grpo_fp32,AdamW + GRPO (FP32),15,o_proj,attn,model.layers.15.self_attn.o_proj.weight,2359296,2359203,93,3.941853841149534e-05,519005,1840291,0.7800170050726997,1294698,0.4512354532877604,437251,0.8146688673231337
adamw_grpo_fp32,AdamW + GRPO (FP32),15,q_proj,attn,model.layers.15.self_attn.q_proj.weight,2359296,2359213,83,3.5179985894084886e-05,473290,1886006,0.799393547905816,1202136,0.49046834309895837,387416,0.8357916937934028
adamw_grpo_fp32,AdamW + GRPO (FP32),15,v_proj,attn,model.layers.15.self_attn.v_proj.weight,393216,393200,16,4.069010416662966e-05,76084,317132,0.8065083821614584,222866,0.43322245279947913,65242,0.8340810139973959
adamw_grpo_fp32,AdamW + GRPO (FP32),16,down_proj,mlp,model.layers.16.mlp.down_proj.weight,13762560,13762105,455,3.306070963537966e-05,2705050,11057510,0.8034486316499256,7220888,0.47532377697172623,2255597,0.8361062912713914
adamw_grpo_fp32,AdamW + GRPO (FP32),16,gate_proj,mlp,model.layers.16.mlp.gate_proj.weight,13762560,13762058,502,3.647577194942908e-05,2462797,11299763,0.8210509527297247,6931874,0.49632379441034224,2021998,0.8530798049200149
adamw_grpo_fp32,AdamW + GRPO (FP32),16,up_proj,mlp,model.layers.16.mlp.up_proj.weight,13762560,13762058,502,3.647577194942908e-05,2540792,11221768,0.8153837658110119,7209184,0.4761742001488095,2119336,0.8460071382068453
adamw_grpo_fp32,AdamW + GRPO (FP32),16,k_proj,attn,model.layers.16.self_attn.k_proj.weight,393216,393198,18,4.57763671875e-05,67768,325448,0.8276570638020834,210425,0.4648615519205729,57719,0.8532129923502604
adamw_grpo_fp32,AdamW + GRPO (FP32),16,o_proj,attn,model.layers.16.self_attn.o_proj.weight,2359296,2359226,70,2.9669867621540114e-05,513232,1846064,0.7824639214409722,1222382,0.48188696967230904,424682,0.8199963039822049
adamw_grpo_fp32,AdamW + GRPO (FP32),16,q_proj,attn,model.layers.16.self_attn.q_proj.weight,2359296,2359179,117,4.9591064453125e-05,386344,1972952,0.8362460666232638,1064829,0.5486666361490886,304620,0.8708852132161459
